provincia,day,prediccion_precip,predicted_date
A Coruña,1,1,2025-02-25
A Coruña,2,1,2025-02-26
A Coruña,3,0,2025-02-27
A Coruña,4,1,2025-02-28
A Coruña,5,1,2025-03-01
A Coruña,6,1,2025-03-02
A Coruña,7,0,2025-03-03
Albacete,1,1,2025-02-25
Albacete,2,0,2025-02-26
Albacete,3,0,2025-02-27
Albacete,4,0,2025-02-28
Albacete,5,0,2025-03-01
Albacete,6,0,2025-03-02
Albacete,7,1,2025-03-03
Alicante,1,0,2025-02-25
Alicante,2,0,2025-02-26
Alicante,3,0,2025-02-27
Alicante,4,0,2025-02-28
Alicante,5,0,2025-03-01
Alicante,6,1,2025-03-02
Alicante,7,1,2025-03-03
Almería,1,0,2025-02-25
Almería,2,0,2025-02-26
Almería,3,0,2025-02-27
Almería,4,0,2025-02-28
Almería,5,1,2025-03-01
Almería,6,1,2025-03-02
Almería,7,1,2025-03-03
Asturias,1,1,2025-02-25
Asturias,2,1,2025-02-26
Asturias,3,1,2025-02-27
Asturias,4,0,2025-02-28
Asturias,5,1,2025-03-01
Asturias,6,1,2025-03-02
Asturias,7,1,2025-03-03
Badajoz,1,1,2025-02-25
Badajoz,2,1,2025-02-26
Badajoz,3,0,2025-02-27
Badajoz,4,0,2025-02-28
Badajoz,5,0,2025-03-01
Badajoz,6,0,2025-03-02
Badajoz,7,1,2025-03-03
Baleares,1,0,2025-02-25
Baleares,2,0,2025-02-26
Baleares,3,1,2025-02-27
Baleares,4,1,2025-02-28
Baleares,5,0,2025-03-01
Baleares,6,1,2025-03-02
Baleares,7,1,2025-03-03
Barcelona,1,0,2025-02-25
Barcelona,2,0,2025-02-26
Barcelona,3,1,2025-02-27
Barcelona,4,0,2025-02-28
Barcelona,5,1,2025-03-01
Barcelona,6,1,2025-03-02
Barcelona,7,1,2025-03-03
Burgos,1,1,2025-02-25
Burgos,2,1,2025-02-26
Burgos,3,1,2025-02-27
Burgos,4,1,2025-02-28
Burgos,5,1,2025-03-01
Burgos,6,0,2025-03-02
Burgos,7,1,2025-03-03
Cantabria,1,1,2025-02-26
Cantabria,2,1,2025-02-27
Cantabria,3,1,2025-02-28
Cantabria,4,1,2025-03-01
Cantabria,5,0,2025-03-02
Cantabria,6,0,2025-03-03
Cantabria,7,0,2025-03-04
Castellón,1,1,2025-02-25
Castellón,2,1,2025-02-26
Castellón,3,1,2025-02-27
Castellón,4,0,2025-02-28
Castellón,5,1,2025-03-01
Castellón,6,0,2025-03-02
Castellón,7,1,2025-03-03
Ceuta,1,0,2025-02-26
Ceuta,2,0,2025-02-27
Ceuta,3,0,2025-02-28
Ceuta,4,0,2025-03-01
Ceuta,5,0,2025-03-02
Ceuta,6,0,2025-03-03
Ceuta,7,0,2025-03-04
Ciudad Real,1,1,2025-02-25
Ciudad Real,2,1,2025-02-26
Ciudad Real,3,0,2025-02-27
Ciudad Real,4,0,2025-02-28
Ciudad Real,5,0,2025-03-01
Ciudad Real,6,0,2025-03-02
Ciudad Real,7,1,2025-03-03
Cuenca,1,0,2025-02-26
Cuenca,2,0,2025-02-27
Cuenca,3,0,2025-02-28
Cuenca,4,0,2025-03-01
Cuenca,5,0,2025-03-02
Cuenca,6,0,2025-03-03
Cuenca,7,0,2025-03-04
Cáceres,1,1,2025-02-25
Cáceres,2,0,2025-02-26
Cáceres,3,0,2025-02-27
Cáceres,4,1,2025-02-28
Cáceres,5,1,2025-03-01
Cáceres,6,0,2025-03-02
Cáceres,7,1,2025-03-03
Cádiz,1,0,2025-02-25
Cádiz,2,1,2025-02-26
Cádiz,3,0,2025-02-27
Cádiz,4,0,2025-02-28
Cádiz,5,1,2025-03-01
Cádiz,6,0,2025-03-02
Cádiz,7,0,2025-03-03
Córdoba,1,1,2025-02-25
Córdoba,2,0,2025-02-26
Córdoba,3,0,2025-02-27
Córdoba,4,0,2025-02-28
Córdoba,5,0,2025-03-01
Córdoba,6,1,2025-03-02
Córdoba,7,1,2025-03-03
Gipuzkoa,1,0,2025-02-26
Gipuzkoa,2,0,2025-02-27
Gipuzkoa,3,1,2025-02-28
Gipuzkoa,4,0,2025-03-01
Gipuzkoa,5,1,2025-03-02
Gipuzkoa,6,0,2025-03-03
Gipuzkoa,7,1,2025-03-04
Girona,1,1,2025-02-25
Girona,2,1,2025-02-26
Girona,3,0,2025-02-27
Girona,4,0,2025-02-28
Girona,5,0,2025-03-01
Girona,6,0,2025-03-02
Girona,7,0,2025-03-03
Granada,1,0,2025-02-25
Granada,2,0,2025-02-26
Granada,3,0,2025-02-27
Granada,4,0,2025-02-28
Granada,5,0,2025-03-01
Granada,6,0,2025-03-02
Granada,7,1,2025-03-03
Guadalajara,1,0,2025-02-26
Guadalajara,2,0,2025-02-27
Guadalajara,3,0,2025-02-28
Guadalajara,4,1,2025-03-01
Guadalajara,5,1,2025-03-02
Guadalajara,6,1,2025-03-03
Guadalajara,7,1,2025-03-04
Huelva,1,1,2025-02-25
Huelva,2,1,2025-02-26
Huelva,3,0,2025-02-27
Huelva,4,0,2025-02-28
Huelva,5,0,2025-03-01
Huelva,6,0,2025-03-02
Huelva,7,0,2025-03-03
Huesca,1,1,2025-02-25
Huesca,2,1,2025-02-26
Huesca,3,0,2025-02-27
Huesca,4,0,2025-02-28
Huesca,5,1,2025-03-01
Huesca,6,1,2025-03-02
Huesca,7,1,2025-03-03
Jaén,1,1,2025-02-25
Jaén,2,0,2025-02-26
Jaén,3,0,2025-02-27
